index,longitude,latitude,address,in_clust,elev
315,127.9065,37.035,충청북도 충주시 금가면 사암리,1,100.2
317,128.1066,37.035,충청북도 제천시 청풍면 사오리,1,135.5
318,128.2066,37.035,충청북도 제천시 금성면 성내리,1,593.5
319,128.3066,37.035,충청북도 단양군 매포읍 하시리,1,214.2
320,128.4066,37.035,충청북도 단양군 가곡면 가대리,1,235.8
323,128.7066,37.035,경상북도 봉화군 물야면 오전리,1,1089.8
324,128.8066,37.035,경상북도 봉화군 춘양면 서벽리,1,729.2
325,128.9066,37.035,경상북도 봉화군 소천면 고선리,1,1071.0
327,129.1067,37.035,경상북도 봉화군 석포면 석포리,1,909.1
328,129.2067,37.035,경상북도 울진군 금강송면 소광리,1,643.7
329,129.3067,37.035,경상북도 울진군 북면 하당리,1,182.0
330,126.2063,36.935,충청남도 태안군 원북면 방갈리,1,-4.1
333,126.6064,36.935,충청남도 당진시 고대면 슬항리,1,11.4
334,126.7064,36.935,충청남도 당진시 송산면 명산리,1,8.2
335,126.8064,36.935,충청남도 당진시 신평면 매산리,1,0.0
337,127.0064,36.935,경기도 평택시 팽성읍 노양리,1,3.2
338,127.1064,36.935,충청남도 천안시 서북구 성환읍 어룡리,1,34.7
339,127.2064,36.935,충청남도 천안시 서북구 입장면 가산리,1,28.1
340,127.3064,36.935,경기도 안성시 금광면 상중리,1,360.2
343,127.6065,36.935,충청북도 음성군 음성읍 동음리,1,195.7
344,127.7065,36.935,충청북도 음성군 음성읍 평곡리,1,286.9
345,127.8065,36.935,충청북도 괴산군 불정면 삼방리,1,200.2
347,128.0065,36.935,충청북도 충주시 살미면 재오개리,1,166.1
348,128.1066,36.935,충청북도 제천시 한수면 탄지리,1,293.9
349,128.2066,36.935,충청북도 제천시 수산면 수산리,1,201.7
350,128.3066,36.935,충청북도 단양군 단성면 외중방리,1,212.1
353,128.6066,36.935,경상북도 영주시 단산면 병산리,1,240.9
354,128.7066,36.935,경상북도 봉화군 물야면 북지리,1,383.6
355,128.8066,36.935,경상북도 봉화군 봉성면 동양리,1,407.3
357,129.0067,36.935,경상북도 봉화군 소천면 현동리,1,311.2
358,129.1067,36.935,경상북도 봉화군 소천면 분천리,1,464.5
359,129.2067,36.935,경상북도 울진군 금강송면 쌍전리,1,452.0
360,129.3067,36.935,경상북도 울진군 근남면 수곡리,1,382.3
363,126.4063,36.835,충청남도 서산시 성연면 오사리,1,113.0
364,126.5063,36.835,충청남도 서산시 음암면 문양리,1,85.4
365,126.6064,36.835,충청남도 당진시 구룡동,1,30.3
367,126.8064,36.835,충청남도 당진시 우강면 공포리,1,6.9
368,126.9064,36.835,충청남도 아산시 인주면 도흥리,1,38.6
369,127.0064,36.835,충청남도 아산시 음봉면 동천리,1,58.8
370,127.1064,36.835,충청남도 천안시 서북구 백석동,1,90.5
373,127.4065,36.835,충청북도 진천군 진천읍 사석리,1,197.8
374,127.5065,36.835,충청북도 진천군 초평면 화산리,1,98.5
375,127.6065,36.835,충청북도 증평군 도안면 송정리,1,88.9
377,127.8065,36.835,충청북도 괴산군 괴산읍 사창리,1,181.0
378,127.9065,36.835,충청북도 괴산군 감물면 백양리,1,403.3
379,128.0065,36.835,충청북도 충주시 수안보면 안보리,1,271.5
380,128.1066,36.835,충청북도 제천시 한수면 송계리,1,599.4
383,128.4066,36.835,충청북도 단양군 대강면 남천리,1,441.4
384,128.5066,36.835,경상북도 영주시 봉현면 한천리,1,520.4
385,128.6066,36.835,경상북도 영주시 가흥동,1,158.5
387,128.8066,36.835,경상북도 봉화군 상운면 문촌리,1,413.7
388,128.9066,36.835,경상북도 봉화군 명호면 고계리,1,497.9
389,129.0067,36.835,경상북도 봉화군 재산면 동면리,1,762.1
390,129.1067,36.835,경상북도 영양군 수비면 신암리,1,712.2
393,129.4067,36.835,경상북도 울진군 기성면 삼산리,1,128.2
394,126.3063,36.735,충청남도 태안군 태안읍 송암리,1,41.2
395,126.4063,36.735,충청남도 서산시 부석면 월계리,1,29.4
397,126.6064,36.735,충청남도 서산시 운산면 용현리,1,410.2
398,126.7064,36.735,충청남도 예산군 고덕면 석곡리,1,26.3
399,126.8064,36.735,충청남도 예산군 신암면 오산리,1,31.9
400,126.9064,36.735,충청남도 아산시 도고면 신유리,1,111.9
403,127.2064,36.735,충청남도 천안시 동남구 성남면 대정리,1,156.4
404,127.3064,36.735,충청남도 천안시 동남구 수신면 장산리,1,150.0
405,127.4065,36.735,충청북도 청주시 청원구 오창읍 용두리,1,110.4
407,127.6065,36.735,충청북도 청주시 청원구 북이면 호명리,1,162.8
408,127.7065,36.735,충청북도 괴산군 청안면 백봉리,1,316.1
409,127.8065,36.735,충청북도 괴산군 청천면 덕평리,1,146.8
410,127.9065,36.735,충청북도 괴산군 칠성면 쌍곡리,1,298.8
413,128.2066,36.735,경상북도 문경시 산북면 석봉리,1,623.7
414,128.3066,36.735,경상북도 문경시 동로면 간송리,1,332.1
415,128.4066,36.735,경상북도 예천군 용문면 선리,1,551.9
417,128.6066,36.735,경상북도 영주시 문수면 조제리,1,218.3
418,128.7066,36.735,경상북도 영주시 평은면 강동리,1,375.0
419,128.8066,36.735,경상북도 안동시 도산면 의일리,1,228.6
420,128.9066,36.735,경상북도 안동시 예안면 삼계리,1,593.1
423,129.2067,36.735,경상북도 영양군 수비면 오기리,1,472.9
424,129.3067,36.735,경상북도 울진군 온정면 선구리,1,526.9
425,129.4067,36.735,경상북도 울진군 평해읍 삼달리,1,84.9
427,126.6064,36.635,충청남도 예산군 덕산면 대동리,1,40.3
428,126.7064,36.635,충청남도 홍성군 금마면 화양리,1,15.0
429,126.8064,36.635,충청남도 예산군 대흥면 노동리,1,19.0
430,126.9064,36.635,충청남도 예산군 대술면 마전리,1,63.3
433,127.2064,36.635,세종특별자치시 전동면 송성리,1,344.4
434,127.3064,36.635,충청북도 청주시 흥덕구 오송읍 공북리,1,51.4
435,127.4065,36.635,충청북도 청주시 흥덕구 지동동,1,158.5
437,127.6065,36.635,충청북도 청주시 상당구 낭성면 문박리,1,265.8
438,127.7065,36.635,충청북도 청주시 상당구 미원면 월용리,1,258.5
439,127.8065,36.635,충청북도 괴산군 청천면 상신리,1,350.6
440,127.9065,36.635,충청북도 괴산군 청천면 삼송리,1,329.0
443,128.2066,36.635,경상북도 문경시 호계면 막곡리,1,86.4
444,128.3066,36.635,경상북도 예천군 용궁면 월오리,1,97.7
445,128.4066,36.635,경상북도 예천군 유천면 화지리,1,83.3
447,128.6066,36.635,경상북도 안동시 풍산읍 죽전리,1,280.8
448,128.7066,36.635,경상북도 안동시 서후면 저전리,1,174.8
449,128.8066,36.635,경상북도 안동시 와룡면 주계리,1,237.5
450,128.9066,36.635,경상북도 안동시 예안면 계곡리,1,261.9
453,129.2067,36.635,경상북도 영양군 영양읍 무창리,1,381.5
454,129.3067,36.635,경상북도 영덕군 창수면 삼계리,1,128.3
455,129.4067,36.635,경상북도 영덕군 병곡면 백석리,1,150.6
457,126.4063,36.535,충청남도 홍성군 서부면 죽도리,1,-4.9
458,126.6064,36.535,충청남도 홍성군 은하면 장곡리,1,183.9
