,년,월,일,시간,건구온도 (℃),건구온도_불확도 (℃),이슬점온도 (℃),이슬점온도_불확도 (℃),상대습도 (%),상대습도_불확도 (%),표면기압 (hPa),표면기압_불확도 (hPa),풍속 (m/s),풍속_불확도 (m/s),수평면 전일사량 (Wh/m²),수평면 전일사량_불확도 (Wh/m²)
79,2016,1,4,7,-1.3,2.4,-1.9,1.7,96,11.5,1001.3,1.5,1.8,0.7,10,1
80,2016,1,4,8,-1.6,2.4,-2.6,1.7,93,11.2,1002.0,1.5,1.9,0.7,19,1
81,2016,1,4,9,-0.8,2.4,-3.1,1.7,84,10.1,1002.6,1.5,1.9,0.7,151,11
82,2016,1,4,10,0.5,2.4,-4.6,1.7,69,8.3,1003.2,1.5,2.4,0.9,300,21
83,2016,1,4,11,1.7,2.4,-5.7,1.7,58,7.0,1003.3,1.5,2.6,1.0,417,29
84,2016,1,4,12,2.9,2.4,-6.5,1.7,50,6.0,1002.9,1.5,2.9,1.1,362,25
85,2016,1,4,13,3.6,2.4,-7.3,1.7,45,5.4,1002.2,1.5,3.2,1.2,487,34
86,2016,1,4,14,3.9,2.4,-8.2,1.7,41,4.9,1002.1,1.5,3.3,1.2,430,30
87,2016,1,4,15,3.7,2.4,-9.0,1.7,39,4.7,1002.3,1.5,3.3,1.2,320,22
88,2016,1,4,16,3.2,2.4,-9.3,1.7,39,4.7,1002.1,1.5,3.2,1.2,173,12
89,2016,1,4,17,2.1,2.4,-9.9,1.7,41,4.9,1002.4,1.5,2.5,0.9,29,2
90,2016,1,4,18,0.7,2.4,-10.0,1.7,45,5.4,1002.8,1.5,2.4,0.9,10,1
91,2016,1,4,19,-0.4,2.4,-9.9,1.7,49,5.9,1003.4,1.5,2.3,0.9,10,1
92,2016,1,4,20,-1.4,2.4,-9.9,1.7,52,6.2,1004.1,1.5,2.2,0.8,0,0
93,2016,1,4,21,-2.1,2.4,-10.2,1.7,54,6.5,1004.8,1.5,2.3,0.9,0,0
94,2016,1,4,22,-2.6,2.4,-10.6,1.7,54,6.5,1005.3,1.5,2.3,0.9,0,0
95,2016,1,4,23,-3.1,2.4,-11.2,1.7,54,6.5,1005.6,1.5,2.2,0.8,0,0
96,2016,1,5,0,-3.5,2.4,-11.8,1.7,53,6.4,1005.8,1.5,2.1,0.8,0,0
97,2016,1,5,1,-3.7,2.4,-12.5,1.7,51,6.1,1006.0,1.5,2.1,0.8,0,0
98,2016,1,5,2,-3.7,2.4,-13.2,1.7,48,5.8,1006.1,1.5,2.2,0.8,0,0
99,2016,1,5,3,-4.0,2.4,-13.9,1.7,46,5.5,1006.0,1.5,2.0,0.7,0,0
100,2016,1,5,4,-3.8,2.4,-14.7,1.7,43,5.2,1005.4,1.5,1.9,0.7,0,0
101,2016,1,5,5,-4.1,2.4,-15.4,1.7,41,4.9,1005.1,1.5,1.9,0.7,0,0
102,2016,1,5,6,-4.2,2.4,-16.2,1.7,39,4.7,1005.0,1.5,1.8,0.7,0,0
103,2016,1,5,7,-3.8,2.4,-17.1,1.7,35,4.2,1005.5,1.5,1.8,0.7,10,1
104,2016,1,5,8,-3.7,2.4,-17.7,1.7,33,4.0,1006.0,1.5,1.9,0.7,1,0
105,2016,1,5,9,-3.3,2.4,-18.0,1.7,31,3.7,1006.3,1.5,2.2,0.8,72,5
106,2016,1,5,10,-2.6,2.4,-18.3,1.7,29,3.5,1006.5,1.5,2.2,0.8,181,13
107,2016,1,5,11,-1.7,2.4,-18.2,1.7,27,3.2,1007.2,1.5,2.2,0.8,419,29
108,2016,1,5,12,-0.8,2.4,-17.9,1.7,26,3.1,1006.8,1.5,2.4,0.9,426,30
109,2016,1,5,13,-0.1,2.4,-15.7,1.7,30,3.6,1006.1,1.5,2.7,1.0,382,27
110,2016,1,5,14,0.3,2.4,-15.1,1.7,30,3.6,1005.4,1.5,2.9,1.1,0,0
111,2016,1,5,15,0.3,2.4,-14.7,1.7,31,3.7,1005.5,1.5,2.9,1.1,325,23
112,2016,1,5,16,-0.6,2.4,-15.0,1.7,33,4.0,1005.3,1.5,2.7,1.0,178,12
113,2016,1,5,17,-1.4,2.4,-15.0,1.7,35,4.2,1005.7,1.5,2.3,0.9,36,3
114,2016,1,5,18,-2.3,2.4,-14.7,1.7,38,4.6,1006.3,1.5,2.2,0.8,10,1
115,2016,1,5,19,-2.9,2.4,-14.5,1.7,40,4.8,1006.6,1.5,2.2,0.8,10,1
116,2016,1,5,20,-3.4,2.4,-14.5,1.7,42,5.0,1007.1,1.5,2.1,0.8,0,0
117,2016,1,5,21,-4.0,2.4,-14.4,1.7,44,5.3,1007.5,1.5,1.8,0.7,0,0
118,2016,1,5,22,-4.9,2.4,-14.4,1.7,47,5.6,1007.6,1.5,1.6,0.6,0,0
119,2016,1,5,23,-5.1,2.4,-14.3,1.7,48,5.8,1007.3,1.5,1.4,0.5,0,0
120,2016,1,6,0,-3.8,2.4,-14.3,1.7,44,5.3,1007.0,1.5,0.9,0.3,0,0
121,2016,1,6,1,-3.3,2.4,-14.3,1.7,42,5.0,1006.8,1.5,0.4,0.1,0,0
122,2016,1,6,2,-3.3,2.4,-14.0,1.7,43,5.2,1006.6,1.5,0.5,0.2,0,0
123,2016,1,6,3,-3.3,2.4,-13.7,1.7,44,5.3,1006.3,1.5,0.5,0.2,0,0
124,2016,1,6,4,-3.7,2.4,-13.9,1.7,45,5.4,1005.9,1.5,0.8,0.3,0,0
125,2016,1,6,5,-4.0,2.4,-13.7,1.7,47,5.6,1005.8,1.5,0.8,0.3,0,0
126,2016,1,6,6,-4.0,2.4,-13.7,1.7,47,5.6,1005.7,1.5,0.7,0.3,0,0
127,2016,1,6,7,-4.0,2.4,-13.6,1.7,47,5.6,1005.9,1.5,0.7,0.3,10,1
128,2016,1,6,8,-4.0,2.4,-13.5,1.7,48,5.8,1006.1,1.5,0.7,0.3,2,0
129,2016,1,6,9,-3.5,2.4,-12.5,1.7,50,6.0,1005.9,1.5,0.7,0.3,52,4
130,2016,1,6,10,-1.9,2.4,-10.8,1.7,51,6.1,1006.0,1.5,1.1,0.4,59,4
131,2016,1,6,11,-0.6,2.4,-9.4,1.7,51,6.1,1005.6,1.5,1.6,0.6,424,30
132,2016,1,6,12,0.8,2.4,-8.8,1.7,49,5.9,1005.0,1.5,2.8,1.0,260,18
133,2016,1,6,13,1.6,2.4,-8.5,1.7,47,5.6,1003.8,1.5,3.1,1.1,241,17
134,2016,1,6,14,2.0,2.4,-8.0,1.7,48,5.8,1003.0,1.5,3.3,1.2,173,12
135,2016,1,6,15,1.8,2.4,-7.7,1.7,49,5.9,1002.7,1.5,3.4,1.3,203,14
136,2016,1,6,16,1.2,2.4,-7.2,1.7,54,6.5,1002.5,1.5,3.3,1.2,82,6
137,2016,1,6,17,0.4,2.4,-6.7,1.7,59,7.1,1002.4,1.5,2.5,0.9,22,2
138,2016,1,6,18,-0.6,2.4,-6.3,1.7,65,7.8,1002.3,1.5,2.2,0.8,10,1
139,2016,1,6,19,-1.1,2.4,-5.9,1.7,70,8.4,1002.6,1.5,2.0,0.7,10,1
140,2016,1,6,20,-1.5,2.4,-5.7,1.7,73,8.8,1003.0,1.5,1.8,0.7,0,0
141,2016,1,6,21,-2.0,2.4,-5.9,1.7,75,9.0,1003.1,1.5,1.8,0.7,0,0
142,2016,1,6,22,-2.7,2.4,-6.6,1.7,75,9.0,1003.2,1.5,1.9,0.7,0,0
143,2016,1,6,23,-3.3,2.4,-7.6,1.7,72,8.6,1003.3,1.5,2.0,0.7,0,0
144,2016,1,7,0,-3.8,2.4,-8.6,1.7,69,8.3,1003.4,1.5,2.2,0.8,0,0
145,2016,1,7,1,-4.3,2.4,-9.6,1.7,67,8.0,1003.6,1.5,2.3,0.9,0,0
146,2016,1,7,2,-4.7,2.4,-10.2,1.7,65,7.8,1003.6,1.5,2.1,0.8,0,0
147,2016,1,7,3,-4.9,2.4,-10.5,1.7,65,7.8,1003.6,1.5,2.1,0.8,0,0
148,2016,1,7,4,-4.9,2.4,-11.2,1.7,61,7.3,1003.4,1.5,2.2,0.8,0,0
149,2016,1,7,5,-5.0,2.4,-11.4,1.7,61,7.3,1003.5,1.5,2.0,0.7,0,0
150,2016,1,7,6,-5.2,2.4,-11.7,1.7,60,7.2,1003.5,1.5,2.1,0.8,0,0
151,2016,1,7,7,-5.2,2.4,-12.3,1.7,57,6.8,1003.7,1.5,2.2,0.8,10,1
152,2016,1,7,8,-5.3,2.4,-13.2,1.7,54,6.5,1003.9,1.5,2.3,0.9,19,1
153,2016,1,7,9,-4.6,2.4,-14.2,1.7,47,5.6,1004.1,1.5,2.6,1.0,155,11
154,2016,1,7,10,-3.5,2.4,-14.9,1.7,41,4.9,1004.4,1.5,2.5,0.9,309,22
155,2016,1,7,11,-2.3,2.4,-15.5,1.7,36,4.3,1004.2,1.5,2.5,0.9,430,30
156,2016,1,7,12,-1.1,2.4,-15.8,1.7,32,3.8,1003.8,1.5,2.8,1.0,498,35
157,2016,1,7,13,-0.4,2.4,-15.8,1.7,30,3.6,1002.8,1.5,3.0,1.1,505,35
158,2016,1,7,14,-0.0,2.4,-15.6,1.7,30,3.6,1002.3,1.5,3.2,1.2,449,31
159,2016,1,7,15,-0.1,2.4,-15.3,1.7,31,3.7,1002.1,1.5,3.2,1.2,339,24
160,2016,1,7,16,-0.8,2.4,-14.5,1.7,35,4.2,1001.8,1.5,3.2,1.2,188,13
161,2016,1,7,17,-1.6,2.4,-13.9,1.7,39,4.7,1002.5,1.5,2.9,1.1,42,3
162,2016,1,7,18,-2.4,2.4,-13.6,1.7,42,5.0,1002.8,1.5,2.8,1.0,11,1
163,2016,1,7,19,-2.8,2.4,-13.4,1.7,44,5.3,1002.9,1.5,2.6,1.0,11,1
164,2016,1,7,20,-3.3,2.4,-13.6,1.7,45,5.4,1003.1,1.5,2.5,0.9,0,0
165,2016,1,7,21,-3.8,2.4,-13.9,1.7,45,5.4,1002.9,1.5,2.5,0.9,0,0
166,2016,1,7,22,-4.3,2.4,-13.9,1.7,47,5.6,1003.0,1.5,2.5,0.9,0,0
167,2016,1,7,23,-4.7,2.4,-13.8,1.7,49,5.9,1002.8,1.5,2.5,0.9,0,0
168,2016,1,8,0,-5.1,2.4,-13.5,1.7,52,6.2,1002.6,1.5,2.4,0.9,0,0
169,2016,1,8,1,-5.3,2.4,-13.2,1.7,54,6.5,1002.3,1.5,2.4,0.9,0,0
170,2016,1,8,2,-5.5,2.4,-12.9,1.7,56,6.7,1002.1,1.5,2.4,0.9,0,0
